adoption_id,record_id,date,quantity,book_id
6,14,2/15/2016,433,598
7,14,5/5/2015,510,923
8,14,1/13/2016,698,896
9,14,12/21/2015,82,631
10,14,12/6/2015,580,688
1,15,1/20/2016,264,652
2,15,5/16/2015,423,590
3,15,2/2/2016,595,621
4,15,10/2/2015,120,644
5,15,12/17/2015,451,633
6,15,9/17/2015,270,600
7,15,7/14/2015,589,926
8,15,10/5/2015,74,914
9,15,1/10/2016,355,951
10,15,1/15/2016,504,964
11,15,1/13/2016,651,676
12,15,1/21/2016,669,786
13,15,5/7/2015,392,630
14,15,12/21/2015,437,955
15,15,6/18/2015,218,703
16,15,12/3/2015,597,621
17,15,3/8/2015,111,787
18,15,8/9/2015,62,552
19,15,12/23/2015,377,707
20,15,10/26/2015,350,603
1,16,2/10/2016,553,677
2,16,4/10/2015,490,485
3,16,7/15/2015,459,983
4,16,7/10/2015,594,483
5,16,1/15/2016,165,631
6,16,1/26/2016,434,951
7,16,1/30/2016,654,593
8,16,11/16/2015,343,918
9,16,12/14/2015,293,572
10,16,10/2/2015,238,626
11,16,2/27/2016,486,610
12,16,11/3/2015,137,633
13,16,7/14/2015,195,677
14,16,7/26/2015,29,492
15,16,9/14/2015,236,894
16,16,8/19/2015,138,973
17,16,2/8/2016,297,943
18,16,4/6/2015,647,642
19,16,8/14/2015,368,689
20,16,6/13/2015,496,701
21,16,7/24/2015,409,705
22,16,1/11/2016,647,604
23,16,8/20/2015,531,592
24,16,9/19/2015,207,627
25,16,6/13/2015,495,909
26,16,12/28/2015,567,485
1,17,6/21/2015,604,571
2,17,3/14/2015,131,613
3,17,6/4/2015,32,636
4,17,5/27/2015,139,928
5,17,12/3/2015,240,572
6,17,10/9/2015,513,590
7,17,11/13/2015,342,789
8,17,7/25/2015,313,474
9,17,3/31/2015,169,936
10,17,7/3/2015,100,486
11,17,12/31/2015,690,637
12,17,9/15/2015,356,627
13,17,7/15/2015,383,935
14,17,12/2/2015,682,473
15,17,6/14/2015,546,587
16,17,8/8/2015,453,568
17,17,7/6/2015,461,782
1,18,12/3/2015,104,626
2,18,7/22/2015,314,956
3,18,1/5/2016,516,928
4,18,3/13/2015,65,957
5,18,9/21/2015,554,686
6,18,8/7/2015,675,923
7,18,7/15/2015,410,572
8,18,10/20/2015,362,683
9,18,7/28/2015,52,922
10,18,7/18/2015,475,613
11,18,6/20/2015,467,614
12,18,11/16/2015,353,980
13,18,6/8/2015,455,627
14,18,1/20/2016,433,594
15,18,8/5/2015,168,905
16,18,12/9/2015,170,698
17,18,8/28/2015,89,682
18,18,10/21/2015,183,682
19,18,5/15/2015,638,550
20,18,11/19/2015,62,678
1,19,1/5/2016,33,690
2,19,7/23/2015,127,922
3,19,7/7/2015,422,893
4,19,8/10/2015,622,638
5,19,6/23/2015,482,925
6,19,9/24/2015,199,958
7,19,10/20/2015,506,546
8,19,1/20/2016,230,486
9,19,12/27/2015,566,690
10,19,12/27/2015,52,981
11,19,5/26/2015,173,551
12,19,5/16/2015,577,632
13,19,9/28/2015,394,927
14,19,9/28/2015,477,486
15,19,10/30/2015,403,627
16,19,5/18/2015,564,599
17,19,8/26/2015,536,924
18,19,11/10/2015,64,976
19,19,7/18/2015,303,951
20,19,9/1/2015,491,564
21,19,7/5/2015,452,919
22,19,7/1/2015,498,553
23,19,12/25/2015,232,583
24,19,5/7/2015,136,633
25,19,11/21/2015,290,627
26,19,4/2/2015,494,914
27,19,11/17/2015,347,567
28,19,3/7/2015,526,590
1,20,9/14/2015,51,610
2,20,4/7/2015,212,704
3,20,3/22/2015,165,686
4,20,12/24/2015,61,642
5,20,3/31/2015,333,784
6,20,10/31/2015,666,636
7,20,11/26/2015,154,949
8,20,6/8/2015,533,696
9,20,3/1/2016,455,957
10,20,2/23/2016,300,909
11,20,8/9/2015,31,583
12,20,2/3/2016,483,607
13,20,7/1/2015,276,959
14,20,9/26/2015,115,563
15,20,11/25/2015,348,909
1,21,5/28/2015,295,785
2,21,3/20/2015,292,609
3,21,3/9/2015,349,701
4,21,9/1/2015,87,692
5,21,7/22/2015,202,705
6,21,9/21/2015,222,918
7,21,12/1/2015,40,569
8,21,5/18/2015,105,549
9,21,6/1/2015,445,949
10,21,9/12/2015,279,595
11,21,10/6/2015,207,793
12,21,6/22/2015,535,947
13,21,11/13/2015,564,607
14,21,1/2/2016,407,688
15,21,3/23/2015,560,976
16,21,10/13/2015,298,614
17,21,10/8/2015,685,608
18,21,4/2/2015,487,550
19,21,2/12/2016,42,590
20,21,7/3/2015,512,791
21,21,1/26/2016,597,968
22,21,8/29/2015,528,979
23,21,7/26/2015,583,563
24,21,4/6/2015,248,564
25,21,6/25/2015,43,607
26,21,2/27/2016,397,622
27,21,5/25/2015,494,474
28,21,12/8/2015,643,556
29,21,12/12/2015,447,895
30,21,12/23/2015,344,950
1,22,1/8/2016,27,689
2,22,6/24/2015,215,599
3,22,6/11/2015,417,600
4,22,4/15/2015,420,970
5,22,9/18/2015,65,964
6,22,10/27/2015,632,914
7,22,10/5/2015,140,477
8,22,9/9/2015,25,690
9,22,5/6/2015,305,687
10,22,1/12/2016,479,478
11,22,4/30/2015,383,678
12,22,12/1/2015,610,559
13,22,6/4/2015,597,892
14,22,9/12/2015,634,930
15,22,1/22/2016,551,980
16,22,7/23/2015,645,925
17,22,9/19/2015,181,693
18,22,12/10/2015,488,893
19,22,7/21/2015,113,567
20,22,10/4/2015,129,477
21,22,2/22/2016,628,486
22,22,1/17/2016,639,559
23,22,6/25/2015,423,473
24,22,2/8/2016,435,488
25,22,4/28/2015,592,706
26,22,4/7/2015,261,923
27,22,9/22/2015,198,643
28,22,7/5/2015,267,623
29,22,3/24/2015,227,911
30,22,3/12/2015,83,959
31,22,9/24/2015,679,616
32,22,8/17/2015,363,621
33,22,8/12/2015,282,914
34,22,5/13/2015,438,571
1,23,8/23/2015,280,894
2,23,11/22/2015,164,891
3,23,10/13/2015,471,485
1,24,12/2/2015,667,566
2,24,10/6/2015,610,558
3,24,3/30/2015,311,972
4,24,2/14/2016,334,690
5,24,12/8/2015,118,933
6,24,5/18/2015,176,629
7,24,12/14/2015,331,608
8,24,4/23/2015,122,561
9,24,1/2/2016,167,707
10,24,6/27/2015,82,646
11,24,2/3/2016,597,611
12,24,8/7/2015,614,980
13,24,11/16/2015,529,972
14,24,12/5/2015,525,607
15,24,10/4/2015,362,935
16,24,3/13/2015,31,940
17,24,2/25/2016,109,614
18,24,5/5/2015,563,983
19,24,4/5/2015,298,632
20,24,9/10/2015,194,632
1,25,9/20/2015,208,617
2,25,5/29/2015,663,983
3,25,10/7/2015,342,931
4,25,10/22/2015,149,704
5,25,7/26/2015,302,483
6,25,5/11/2015,687,608
7,25,7/18/2015,147,479
8,25,4/23/2015,82,624
9,25,5/31/2015,684,623
10,25,11/18/2015,357,686
11,25,5/27/2015,318,546
12,25,3/22/2015,350,590
13,25,7/27/2015,624,787
14,25,4/23/2015,419,610
15,25,2/28/2016,238,604
16,25,10/22/2015,91,946
17,25,5/19/2015,36,625
18,25,6/3/2015,579,489
19,25,11/3/2015,49,949
20,25,2/13/2016,303,703
21,25,12/18/2015,316,703
22,25,4/27/2015,520,925
23,25,8/24/2015,403,638
24,25,9/2/2015,409,910
25,25,1/15/2016,318,622
26,25,4/6/2015,85,626
27,25,5/12/2015,226,628
28,25,7/26/2015,115,692
1,26,1/17/2016,573,644
2,26,4/2/2015,618,678
3,26,1/30/2016,194,956
4,26,4/7/2015,259,965
5,26,9/9/2015,689,681
6,26,7/5/2015,442,694
7,26,10/10/2015,220,637
8,26,1/19/2016,115,924
9,26,12/4/2015,222,676
10,26,3/18/2015,582,490
11,26,11/28/2015,625,623
12,26,6/14/2015,383,925
13,26,3/16/2015,534,951
14,26,4/6/2015,28,689
15,26,3/6/2016,93,614
16,26,4/19/2015,187,895
17,26,1/18/2016,44,636
1,27,1/1/2016,232,617
2,27,2/17/2016,234,943
3,27,1/8/2016,410,952
4,27,6/14/2015,82,484
5,27,2/26/2016,436,480
6,27,1/28/2016,211,936
7,27,1/27/2016,304,637
8,27,1/12/2016,366,792
9,27,8/21/2015,214,628
10,27,10/23/2015,605,952
11,27,3/4/2016,239,553
12,27,2/13/2016,358,956
13,27,5/22/2015,214,939
14,27,6/1/2015,107,622
15,27,6/2/2015,418,928
16,27,10/6/2015,105,649
17,27,4/21/2015,673,587
18,27,1/13/2016,464,590
19,27,11/13/2015,207,612
20,27,1/6/2016,155,616
21,27,1/5/2016,595,568
22,27,5/27/2015,314,617
23,27,4/20/2015,175,642
24,27,9/12/2015,490,934
25,27,11/21/2015,361,571
26,27,7/17/2015,107,984
27,27,4/21/2015,464,685
28,27,10/4/2015,493,944
29,27,12/12/2015,199,599
30,27,3/6/2016,425,940
1,28,1/20/2016,333,782
2,28,12/26/2015,136,937
3,28,12/23/2015,136,697
4,28,7/11/2015,694,591
5,28,12/21/2015,422,909
6,28,8/26/2015,381,790
7,28,1/3/2016,353,608
8,28,11/19/2015,537,677
9,28,12/27/2015,144,604
10,28,3/1/2016,412,599
11,28,2/29/2016,512,486
12,28,1/8/2016,384,681
13,28,8/19/2015,410,488
14,28,5/3/2015,533,585
15,28,9/7/2015,459,793
16,28,7/13/2015,244,624
17,28,4/16/2015,76,593
18,28,8/19/2015,330,478
19,28,1/4/2016,165,914
20,28,8/3/2015,202,567
21,28,10/18/2015,638,613
22,28,1/19/2016,176,627
23,28,9/28/2015,367,940
24,28,8/28/2015,507,556
25,28,3/11/2015,555,556
26,28,5/29/2015,113,947
27,28,4/1/2015,274,983
28,28,10/25/2015,451,704
29,28,4/8/2015,202,684
30,28,3/10/2015,317,626
31,28,9/13/2015,155,915
32,28,5/15/2015,404,614
33,28,12/29/2015,672,479
1,29,8/30/2015,202,929
2,29,6/10/2015,561,639
3,29,8/2/2015,212,698
4,29,6/1/2015,126,967
5,29,12/19/2015,676,609
6,29,1/28/2016,508,642
7,29,1/12/2016,623,974
8,29,1/3/2016,139,676
9,29,9/13/2015,492,784
10,29,4/29/2015,480,965
11,29,2/23/2016,129,904
12,29,8/3/2015,329,617
13,29,1/7/2016,495,630
14,29,11/7/2015,490,909
15,29,1/18/2016,113,690
16,29,10/11/2015,95,915
17,29,10/5/2015,464,638
18,29,11/21/2015,63,782
19,29,12/8/2015,549,980
20,29,1/24/2016,671,644
21,29,5/20/2015,281,951
22,29,12/6/2015,624,472
23,29,7/6/2015,490,911
24,29,8/7/2015,117,690
25,29,10/28/2015,27,613
26,29,8/29/2015,179,683
27,29,8/21/2015,193,595
28,29,1/1/2016,375,950
29,29,5/25/2015,122,549
1,30,6/17/2015,252,968
2,30,12/12/2015,633,981
3,30,5/23/2015,128,929
4,30,1/21/2016,256,697
5,30,8/23/2015,482,563
6,30,9/23/2015,533,925
7,30,6/5/2015,541,608
8,30,2/29/2016,142,566
1,31,3/14/2015,413,927
2,31,4/23/2015,472,897
3,31,4/6/2015,261,935
4,31,6/26/2015,122,931
5,31,9/30/2015,136,788
6,31,12/3/2015,354,694
7,31,3/13/2015,552,892
8,31,9/4/2015,29,603
9,31,1/19/2016,498,489
10,31,9/10/2015,427,685
11,31,9/30/2015,331,600
12,31,8/22/2015,435,611
13,31,6/3/2015,104,786
14,31,6/6/2015,327,558
15,31,1/11/2016,466,560
16,31,1/12/2016,70,570
17,31,10/2/2015,397,896
18,31,6/2/2015,230,928
19,31,11/14/2015,455,898
20,31,6/1/2015,691,689
21,31,2/28/2016,407,913
22,31,3/14/2015,308,925
23,31,6/19/2015,589,622
24,31,2/9/2016,571,973
25,31,5/18/2015,603,559
26,31,9/19/2015,391,975
27,31,11/13/2015,186,681
28,31,5/27/2015,693,646
29,31,9/7/2015,422,586
30,31,7/23/2015,166,899
31,31,12/18/2015,152,556
32,31,9/21/2015,602,492
33,31,4/4/2015,527,593
34,31,7/5/2015,230,703
35,31,11/19/2015,197,677
1,32,12/28/2015,444,957
2,32,11/25/2015,251,934
1,33,4/27/2015,413,685
2,33,12/4/2015,35,689
3,33,2/9/2016,210,548
4,33,9/4/2015,595,596
5,33,5/10/2015,682,591
6,33,5/30/2015,131,793
7,33,5/31/2015,529,984
8,33,1/19/2016,165,920
9,33,6/7/2015,593,783
10,33,3/26/2015,48,701
11,33,11/20/2015,296,683
12,33,11/1/2015,616,622
13,33,7/31/2015,630,492
14,33,4/22/2015,569,630
15,33,7/10/2015,153,574
16,33,3/31/2015,309,604
17,33,8/16/2015,404,895
18,33,4/24/2015,300,954
19,33,10/25/2015,301,615
20,33,6/19/2015,589,918
21,33,7/31/2015,381,949
22,33,4/26/2015,482,946
23,33,3/8/2015,342,918
24,33,2/14/2016,545,563
25,33,2/14/2016,234,947
26,33,6/25/2015,353,983
27,33,7/4/2015,400,598
28,33,5/11/2015,622,932
29,33,5/8/2015,228,892
30,33,4/4/2015,688,937
31,33,9/29/2015,656,922
32,33,2/20/2016,632,482
33,33,7/23/2015,40,791
1,34,2/1/2016,325,626
2,34,1/15/2016,536,652
3,34,4/4/2015,465,555
4,34,11/17/2015,80,701
5,34,1/15/2016,275,678
6,34,11/2/2015,320,590
7,34,8/23/2015,167,476
8,34,11/12/2015,235,928
9,34,7/13/2015,60,613
10,34,7/13/2015,554,792
11,34,11/6/2015,79,631
12,34,9/5/2015,621,614
1,35,4/7/2015,479,896
2,35,8/18/2015,170,561
3,35,9/20/2015,324,611
4,35,8/1/2015,36,925
5,35,1/3/2016,422,555
6,35,4/4/2015,546,978
7,35,10/8/2015,89,609
8,35,3/1/2016,336,592
9,35,10/23/2015,128,560
10,35,10/1/2015,582,574
11,35,6/4/2015,75,652
12,35,1/14/2016,331,639
13,35,5/18/2015,127,549
14,35,3/12/2015,353,904
15,35,6/1/2015,271,948
16,35,12/30/2015,544,624
17,35,3/17/2015,606,587
18,35,1/2/2016,504,621
1,36,7/3/2015,449,595
2,36,10/11/2015,287,571
3,36,2/3/2016,50,891
4,36,12/27/2015,406,621
5,36,10/28/2015,312,704
6,36,4/3/2015,336,914
7,36,7/5/2015,305,937
1,37,5/3/2015,84,626
2,37,4/30/2015,317,554
3,37,8/17/2015,521,610
4,37,12/4/2015,45,955
5,37,8/27/2015,558,703
6,37,12/9/2015,321,704
7,37,6/9/2015,225,631
8,37,3/31/2015,332,914
9,37,8/6/2015,680,978
10,37,1/8/2016,175,937
11,37,12/24/2015,222,613
12,37,3/26/2015,566,912
13,37,7/29/2015,214,617
14,37,3/21/2015,629,614
15,37,11/12/2015,223,487
16,37,3/3/2016,507,549
1,38,5/21/2015,108,585
2,38,7/20/2015,309,678
3,38,9/18/2015,601,905
4,38,11/22/2015,115,703
5,38,7/15/2015,106,980
6,38,2/27/2016,448,921
7,38,11/11/2015,466,927
8,38,8/13/2015,136,547
9,38,2/20/2016,90,786
10,38,4/7/2015,42,607
11,38,6/4/2015,307,627
12,38,11/15/2015,445,600
13,38,3/29/2015,655,967
14,38,5/14/2015,668,927
15,38,3/3/2016,412,480
16,38,10/29/2015,407,549
17,38,5/18/2015,212,698
18,38,11/20/2015,202,678
19,38,2/11/2016,67,569
20,38,10/14/2015,190,785
21,38,6/12/2015,522,917
22,38,7/20/2015,148,599
23,38,8/27/2015,540,917
24,38,6/11/2015,226,905
25,38,11/29/2015,329,783
26,38,6/21/2015,104,481
27,38,3/26/2015,164,974
28,38,1/11/2016,661,591
29,38,7/1/2015,337,967
30,38,5/18/2015,615,646
31,38,5/15/2015,421,912
32,38,5/23/2015,35,948
33,38,9/6/2015,619,695
1,39,10/8/2015,504,478
2,39,10/9/2015,537,549
3,39,9/5/2015,637,688
4,39,7/11/2015,119,695
5,39,11/25/2015,267,969
6,39,3/29/2015,556,481
7,39,12/26/2015,541,952
8,39,7/2/2015,427,481
9,39,3/8/2015,376,973
10,39,11/18/2015,379,600
11,39,7/17/2015,202,928
12,39,10/1/2015,183,694
13,39,4/16/2015,536,911
14,39,2/8/2016,63,553
15,39,12/23/2015,324,910
16,39,12/6/2015,560,553
17,39,11/5/2015,616,630
18,39,12/23/2015,146,917
19,39,2/3/2016,203,678
20,39,1/8/2016,113,952
21,39,8/19/2015,549,628
22,39,2/18/2016,591,574
23,39,7/20/2015,580,698
24,39,7/16/2015,634,894
25,39,10/14/2015,77,632
26,39,1/28/2016,431,603
27,39,7/17/2015,287,683
28,39,7/27/2015,478,984
29,39,10/17/2015,103,783
30,39,6/26/2015,282,489
31,39,7/28/2015,56,648
32,39,3/19/2015,214,924
33,39,9/5/2015,238,485
34,39,8/20/2015,673,551
35,39,10/7/2015,265,616
1,40,6/3/2015,215,783
2,40,6/5/2015,402,649
3,40,4/18/2015,416,707
4,40,12/19/2015,133,950
5,40,1/9/2016,245,600
6,40,3/29/2015,436,792
7,40,5/19/2015,660,687
8,40,9/1/2015,66,955
9,40,8/26/2015,440,630
10,40,6/28/2015,424,482
11,40,8/12/2015,103,947
12,40,12/26/2015,640,646
13,40,7/10/2015,594,683
14,40,7/5/2015,250,899
15,40,2/20/2016,481,612
16,40,6/22/2015,563,954
17,40,3/15/2015,450,916
18,40,8/28/2015,353,786
19,40,10/22/2015,593,644
20,40,1/31/2016,169,906
21,40,12/27/2015,363,930
22,40,5/25/2015,536,703
23,40,5/23/2015,531,924
24,40,5/3/2015,393,981
25,40,12/9/2015,555,554
26,40,10/21/2015,509,976
27,40,12/5/2015,452,484
28,40,5/14/2015,190,785
29,40,8/22/2015,195,625
1,41,5/30/2015,549,899
2,41,1/10/2016,197,951
3,41,1/13/2016,147,587
4,41,9/5/2015,411,974
5,41,2/19/2016,264,943
6,41,3/21/2015,67,960
7,41,8/16/2015,490,648
8,41,11/26/2015,226,631
9,41,12/15/2015,480,484
10,41,4/3/2015,379,589
11,41,10/5/2015,106,697
12,41,3/13/2015,600,898
13,41,3/12/2015,543,792
14,41,11/7/2015,501,912
15,41,7/22/2015,105,572
16,41,3/14/2015,671,600
17,41,3/13/2015,322,552
18,41,12/7/2015,217,624
19,41,1/26/2016,473,603
20,41,6/29/2015,633,898
21,41,7/4/2015,375,926
22,41,11/30/2015,519,898
23,41,3/10/2015,540,788
24,41,6/29/2015,492,704
25,41,7/21/2015,460,629
26,41,5/23/2015,271,897
27,41,6/20/2015,55,560
28,41,8/20/2015,695,551
29,41,12/17/2015,295,967
1,42,4/21/2015,66,560
2,42,1/19/2016,55,551
3,42,4/30/2015,84,930
4,42,1/26/2016,166,910
5,42,8/22/2015,275,784
6,42,7/15/2015,286,909
7,42,10/17/2015,181,478
8,42,9/23/2015,306,786
9,42,9/22/2015,504,477
10,42,7/13/2015,497,572
11,42,4/10/2015,47,970
12,42,5/7/2015,641,946
13,42,5/18/2015,600,569
14,42,12/21/2015,240,480
15,42,10/11/2015,75,479
16,42,3/21/2015,534,555
17,42,10/26/2015,458,480
18,42,4/8/2015,266,572
19,42,5/25/2015,382,615
20,42,3/10/2015,156,475
21,42,12/21/2015,99,909
22,42,3/5/2016,609,960
1,43,12/6/2015,527,686
2,43,3/18/2015,365,967
3,43,2/16/2016,385,949
4,43,12/29/2015,184,937
5,43,3/23/2015,274,935
6,43,4/8/2015,671,547
7,43,2/1/2016,223,597
8,43,2/11/2016,530,554
9,43,8/9/2015,362,608
10,43,1/30/2016,104,485
11,43,11/7/2015,484,627
12,43,11/25/2015,690,587
13,43,12/2/2015,442,643
14,43,9/1/2015,519,952
15,43,1/19/2016,275,615
16,43,8/16/2015,258,912
17,43,6/7/2015,522,637
18,43,1/2/2016,596,704
19,43,11/27/2015,351,957
20,43,4/6/2015,485,692
21,43,7/5/2015,37,896
22,43,8/26/2015,415,922
23,43,5/25/2015,313,595
24,43,12/31/2015,484,567
25,43,5/17/2015,304,891
1,44,5/14/2015,251,978
2,44,9/4/2015,37,703
3,44,2/10/2016,95,624
4,44,5/13/2015,616,583
5,44,6/30/2015,655,899
6,44,3/19/2015,131,684
7,44,11/27/2015,587,891
8,44,4/6/2015,687,895
9,44,3/19/2015,179,688
10,44,12/27/2015,665,632
11,44,1/15/2016,461,913
12,44,11/11/2015,55,690
13,44,6/15/2015,91,970
1,45,5/7/2015,629,680
2,45,4/26/2015,308,604
3,45,10/23/2015,42,486
1,46,2/3/2016,335,485
2,46,10/10/2015,407,637
3,46,5/17/2015,590,685
4,46,12/21/2015,463,696
5,46,4/19/2015,122,551
6,46,8/2/2015,95,938
7,46,5/31/2015,52,786
8,46,7/2/2015,459,914
